"",,,,Historically,,,,,,,,,,,,,,,
"",,,,black,,,,,,,,,,,,,,,
"",,Evangelical,Mainline,Protestant,,,Orthodox,Jehovah's,Other,,,,,Other world,Other,,,,Sample
"",,tradition,tradition,tradition,Catholic,Mormon,Christian,Witness,Christian,Jewish,Muslim,Buddhist,Hindu,religions,faiths,Unaffiliated,DK/Ref.,Total,size
"",,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
Total United States,2014,25,15,6,21,2,*,1,*,2,1,1,1,*,2,23,1,100,"35,071"
"",2007,26,18,7,24,2,1,1,*,2,*,1,*,*,1,16,1,100,"35,556"
West,2014,22,11,2,23,5,1,1,1,2,1,1,1,*,2,28,1,100,"8,498"
"",2007,20,15,3,25,6,1,1,1,2,*,2,*,*,2,21,1,100,"7,279"
Alaska,2014,22,12,3,16,5,5,*,*,*,*,1,*,1,4,31,1,100,310
"",2007,26,19,2,14,4,3,*,1,*,1,*,*,*,2,27,1,100,200
Arizona,2014,26,12,1,21,5,*,1,*,2,1,1,1,*,2,27,*,100,653
"",2007,23,15,2,25,4,*,1,*,1,*,1,*,*,2,22,2,100,578
California,2014,20,10,2,28,1,1,1,1,2,1,2,2,1,2,27,1,100,"3,697"
"",2007,18,14,4,31,2,1,1,1,2,*,2,1,*,2,21,1,100,"3,574"
Colorado,2014,26,15,2,16,2,1,*,1,1,*,1,*,*,2,29,2,100,504
"",2007,23,19,2,19,2,1,*,1,2,*,1,*,1,2,25,2,100,590
Hawaii,2014,25,11,2,20,3,*,1,1,*,*,8,*,*,1,26,1,100,312
"",2007,26,18,*,22,5,*,2,*,*,*,6,1,*,2,17,*,100,201
Idaho,2014,21,16,*,10,19,1,*,*,*,1,*,*,*,2,27,1,100,320
"",2007,22,16,*,18,23,*,1,*,*,*,*,*,*,2,18,*,100,196
Montana,2014,28,14,*,17,4,1,1,*,*,*,1,*,*,4,30,*,100,312
"",2007,23,24,*,23,4,*,2,*,*,*,*,*,*,2,22,*,100,190
Nevada,2014,20,10,5,25,4,1,1,*,2,*,*,*,*,3,28,1,100,314
"",2007,13,11,2,27,11,2,*,1,1,2,*,1,1,3,21,2,100,252
New Mexico,2014,23,14,1,34,2,*,1,*,*,*,1,*,*,2,21,*,100,312
"",2007,25,15,2,26,2,*,2,*,2,*,2,*,*,1,21,1,100,228
Oregon,2014,29,13,1,12,4,1,*,1,2,1,*,*,1,3,31,1,100,419
"",2007,30,16,1,14,5,*,*,1,1,*,2,*,*,2,27,*,100,521
Utah,2014,7,6,*,5,55,*,*,*,*,1,1,*,*,2,22,1,100,315
"",2007,7,6,1,10,58,*,*,*,*,*,*,*,*,1,16,1,100,323
Washington,2014,25,13,2,17,3,*,2,1,1,*,1,1,*,3,32,1,100,714
"",2007,25,23,1,16,2,*,1,1,1,*,1,*,*,1,23,2,100,745
Wyoming,2014,27,16,*,14,9,*,3,1,*,*,1,*,*,3,26,*,100,316
"",2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
